用户ID,商品ID,品牌,商品名称,商品类别,商品类目ID,行为类型,时间戳,售价,销量
548,238,Dell,Dell FreeBuds Pro,耳机,4,buy,2025-11-12 23:14,356,5
267,84,Microsoft,Microsoft ROG Zephyrus,笔记本电脑,2,buy,2025-11-12 23:14,11037,3
16,144,Xiaomi,Xiaomi iPhone 16,智能手机,1,addbuy,2025-11-12 23:41,4162,0
256,278,Sony,Sony iPhone 15,智能手机,1,buy,2025-11-12 23:42,7699,5
40,141,Microsoft,Microsoft A80L,电视,7,buy,2025-11-12 23:50,3895,3
13,64,Sony,Sony Surface Pro,平板电脑,3,buy,2025-11-12 23:52,4400,5
184,228,LG,LG FreeBuds Pro,耳机,4,addbuy,2025-11-13 0:16,769,0
478,19,HP,HP iPhone 15,智能手机,1,buy,2025-11-13 0:47,4598,5
419,30,Lenovo,Lenovo iPhone 16,智能手机,1,buy,2025-11-13 0:50,3983,5
565,161,Sony,Sony Nothing Ear,耳机,4,buy,2025-11-13 1:03,1076,3
785,142,Huawei,Huawei Galaxy S24,智能手机,1,buy,2025-11-13 1:19,1549,5
646,90,Huawei,Huawei XPS 15,笔记本电脑,2,addbuy,2025-11-13 1:31,8305,0
118,20,Apple,Apple XPS 15,笔记本电脑,2,buy,2025-11-13 1:35,6522,3
594,163,Lenovo,Lenovo Galaxy Z Flip,智能手机,1,buy,2025-11-13 1:49,2659,3
732,133,Xiaomi,Xiaomi AirPods Pro,耳机,4,buy,2025-11-13 2:26,218,5
736,23,LG,LG U8K,电视,7,buy,2025-11-13 2:28,3416,5
80,260,LG,LG iPhone 15,智能手机,1,buy,2025-11-13 2:30,5839,5
243,105,Lenovo,Lenovo C3,电视,7,buy,2025-11-13 2:42,4992,5
426,37,LG,LG QLED TV,电视,7,buy,2025-11-13 3:57,4260,5
26,168,Sony,Sony Galaxy Watch 6,智能手表,5,buy,2025-11-13 4:26,3447,3
668,192,LG,LG A80L,电视,7,buy,2025-11-13 4:56,6456,5
165,189,Microsoft,Microsoft A7 IV,相机,6,buy,2025-11-13 5:08,9661,5
27,55,Huawei,Huawei Nothing Ear,耳机,4,buy,2025-11-13 5:32,89,5
733,261,LG,LG P60 Pro,智能手机,1,buy,2025-11-13 5:32,5897,5
388,299,LG,LG Galaxy Buds2,耳机,4,buy,2025-11-13 5:59,1404,3
781,41,Huawei,Huawei Xiaomi Pad 6,平板电脑,3,buy,2025-11-13 7:04,1903,3
589,281,Microsoft,Microsoft P60 Pro,智能手机,1,buy,2025-11-13 7:29,1547,5
125,271,Lenovo,Lenovo Xiaomi 14,智能手机,1,buy,2025-11-13 8:24,7026,3
676,269,Microsoft,Microsoft Galaxy Z Flip,智能手机,1,addbuy,2025-11-13 8:58,7364,0
200,295,LG,LG Galaxy S24,智能手机,1,buy,2025-11-13 9:01,5287,5
787,186,LG,LG Galaxy Buds2,耳机,4,buy,2025-11-13 10:03,574,5
119,124,LG,LG QLED TV,电视,7,buy,2025-11-13 10:05,3424,5
82,181,Dell,Dell Watch GT 4,智能手表,5,addbuy,2025-11-13 10:25,2797,0
670,248,Samsung,Samsung QN90C,电视,7,buy,2025-11-13 10:29,6149,5
236,292,HP,HP Sony XM5,耳机,4,buy,2025-11-13 10:29,1206,5
691,300,Xiaomi,Xiaomi Sony XM5,耳机,4,buy,2025-11-13 10:44,381,3
294,175,Microsoft,Microsoft ThinkPad X1,笔记本电脑,2,buy,2025-11-13 10:53,14780,3
432,259,Samsung,Samsung X-T5,相机,6,addbuy,2025-11-13 11:11,7002,0
792,102,HP,HP Xiaomi 14,智能手机,1,buy,2025-11-13 11:34,2309,5
124,215,Apple,Apple iPhone 16,智能手机,1,buy,2025-11-13 11:35,2505,5
482,52,Lenovo,Lenovo QLED TV,电视,7,buy,2025-11-13 11:38,3848,5
707,86,Dell,Dell A7 IV,相机,6,buy,2025-11-13 12:00,3887,5
398,217,Lenovo,Lenovo ROG Zephyrus,笔记本电脑,2,buy,2025-11-13 12:11,5063,3
248,151,Dell,Dell Nothing Ear,耳机,4,buy,2025-11-13 12:46,640,5
624,56,LG,LG GH6,相机,6,buy,2025-11-13 13:14,3922,3
419,231,LG,LG Sony XM5,耳机,4,buy,2025-11-13 14:03,50,5
717,69,Sony,Sony Galaxy Z Flip,智能手机,1,addbuy,2025-11-13 14:35,7090,0
86,78,Microsoft,Microsoft P60 Pro,智能手机,1,buy,2025-11-13 14:49,6901,5
691,233,Microsoft,Microsoft ThinkPad X1,笔记本电脑,2,buy,2025-11-13 15:19,4230,5
521,144,HP,HP Galaxy Buds2,耳机,4,buy,2025-11-13 15:28,790,3
350,25,Sony,Sony Xiaomi Pad 6,平板电脑,3,buy,2025-11-13 15:37,2211,5
521,219,Lenovo,Lenovo ROG Zephyrus,笔记本电脑,2,buy,2025-11-13 16:19,13307,5
776,92,Dell,Dell Watch GT 4,智能手表,5,buy,2025-11-13 16:34,1933,5
532,143,Xiaomi,Xiaomi Sony XM5,耳机,4,buy,2025-11-13 17:17,164,3
356,146,LG,LG iPhone 15,智能手机,1,buy,2025-11-13 18:02,5826,5
499,225,Sony,Sony Galaxy S24,智能手机,1,buy,2025-11-13 18:54,2216,5
621,55,Sony,Sony Galaxy S24,智能手机,1,buy,2025-11-13 20:00,2718,5
99,106,Sony,Sony Galaxy Tab S9,平板电脑,3,buy,2025-11-13 20:15,3538,5
613,21,Huawei,Huawei iPhone 15,智能手机,1,buy,2025-11-13 20:25,5583,5
501,14,Xiaomi,Xiaomi AirPods Pro,耳机,4,buy,2025-11-13 20:48,1230,5
437,228,Sony,Sony Nothing Ear,耳机,4,buy,2025-11-13 21:00,710,3
113,62,HP,HP Galaxy S24,智能手机,1,buy,2025-11-13 21:25,5131,5
89,71,HP,HP MatePad Pro,平板电脑,3,buy,2025-11-13 21:57,5161,5
81,114,Samsung,Samsung FreeBuds Pro,耳机,4,buy,2025-11-13 22:28,794,3
344,142,Huawei,Huawei Surface Pro,平板电脑,3,buy,2025-11-13 22:40,2076,3
796,38,Lenovo,Lenovo Xiaomi 14,智能手机,1,buy,2025-11-13 22:45,4836,5
723,267,Dell,Dell A7 IV,相机,6,buy,2025-11-13 23:00,6976,5
642,19,Lenovo,Lenovo ZV-E1,相机,6,addbuy,2025-11-13 23:04,7099,0
141,193,Apple,Apple iPhone 16,智能手机,1,buy,2025-11-14 0:03,6318,5
482,78,Xiaomi,Xiaomi Z50,相机,6,buy,2025-11-14 0:14,5751,2
135,102,HP,HP Galaxy S24,智能手机,1,buy,2025-11-14 0:19,4864,2
445,35,Xiaomi,Xiaomi iPad Pro,平板电脑,3,buy,2025-11-14 0:19,2290,5
728,92,Microsoft,Microsoft Galaxy Buds2,耳机,4,buy,2025-11-14 0:47,1139,5
390,299,Sony,Sony P60 Pro,智能手机,1,buy,2025-11-14 1:14,1331,2
544,93,LG,LG Xiaomi Watch 2,智能手表,5,buy,2025-11-14 1:25,1887,5
502,201,Sony,Sony Sony XM5,耳机,4,buy,2025-11-14 1:27,582,5
303,50,Lenovo,Lenovo Xiaomi Watch 2,智能手表,5,buy,2025-11-14 1:40,3230,2
458,167,Sony,Sony Xiaomi Watch 2,智能手表,5,buy,2025-11-14 1:50,1553,5
181,238,Dell,Dell A7 IV,相机,6,buy,2025-11-14 2:20,6192,5
714,204,Samsung,Samsung QN90C,电视,7,buy,2025-11-14 2:45,4250,2
616,211,HP,HP Xiaomi Pad 6,平板电脑,3,buy,2025-11-14 2:57,2745,5
275,260,Apple,Apple Galaxy S24,智能手机,1,addbuy,2025-11-14 3:04,6549,0
576,166,Dell,Dell iPhone 15,智能手机,1,addbuy,2025-11-14 5:01,2962,0
401,227,LG,LG Surface Laptop,笔记本电脑,2,buy,2025-11-14 5:17,8431,5
275,249,Sony,Sony MacBook Pro,笔记本电脑,2,buy,2025-11-14 5:48,10970,2
47,158,LG,LG Xiaomi 14,智能手机,1,buy,2025-11-14 5:52,6877,5
171,275,Xiaomi,Xiaomi Nothing Ear,耳机,4,buy,2025-11-14 6:09,975,5
626,169,Samsung,Samsung GH6,相机,6,buy,2025-11-14 6:10,5577,2
740,11,Lenovo,Lenovo Apple Watch S9,智能手表,5,buy,2025-11-14 6:29,1438,2
342,181,Samsung,Samsung Xiaomi 14,智能手机,1,buy,2025-11-14 7:57,7567,5
216,186,Apple,Apple Nothing Ear,耳机,4,buy,2025-11-14 8:10,1014,2
406,118,Huawei,Huawei Nothing Ear,耳机,4,buy,2025-11-14 8:11,1047,2
424,111,LG,LG MatePad Pro,平板电脑,3,buy,2025-11-14 8:12,3759,2
37,11,Xiaomi,Xiaomi iPhone 15,智能手机,1,buy,2025-11-14 8:25,5704,2
408,249,Samsung,Samsung P60 Pro,智能手机,1,buy,2025-11-14 8:29,7254,5
25,118,Sony,Sony Watch GT 4,智能手表,5,buy,2025-11-14 8:30,853,2
279,64,Xiaomi,Xiaomi iPhone 15,智能手机,1,addbuy,2025-11-14 9:07,6368,0
759,139,Dell,Dell iPhone 16,智能手机,1,buy,2025-11-14 9:23,7653,2
740,213,Samsung,Samsung Nothing Ear,耳机,4,buy,2025-11-14 9:33,62,5
156,49,Lenovo,Lenovo ROG Zephyrus,笔记本电脑,2,buy,2025-11-14 10:34,4137,2
621,160,Dell,Dell iPhone 16,智能手机,1,buy,2025-11-14 10:37,7129,2
24,155,Lenovo,Lenovo Gram 17,笔记本电脑,2,addbuy,2025-11-14 12:00,9320,0
271,296,Xiaomi,Xiaomi AirPods Pro,耳机,4,addbuy,2025-11-14 12:10,645,0
96,114,Sony,Sony Surface Laptop,笔记本电脑,2,buy,2025-11-14 13:08,11715,5
292,274,Sony,Sony Galaxy Z Flip,智能手机,1,addbuy,2025-11-14 13:32,4415,0
509,202,Dell,Dell C3,电视,7,buy,2025-11-14 14:19,5575,2
464,115,Lenovo,Lenovo iPad Pro,平板电脑,3,buy,2025-11-14 16:08,4743,5
379,245,Xiaomi,Xiaomi Xiaomi Pad 6,平板电脑,3,buy,2025-11-14 16:17,1706,5
148,43,Sony,Sony MatePad Pro,平板电脑,3,addbuy,2025-11-14 17:43,2521,0
502,128,Huawei,Huawei XPS 15,笔记本电脑,2,addbuy,2025-11-14 17:56,5649,0
485,268,Dell,Dell GH6,相机,6,addbuy,2025-11-14 18:09,3246,0
786,253,Xiaomi,Xiaomi Apple Watch S9,智能手表,5,buy,2025-11-14 18:20,3851,5
155,19,Sony,Sony MatePad Pro,平板电脑,3,addbuy,2025-11-14 18:41,3574,0
417,3,Microsoft,Microsoft Fitbit Sense,智能手表,5,addbuy,2025-11-14 18:45,2268,0
501,280,Xiaomi,Xiaomi Fitbit Sense,智能手表,5,addbuy,2025-11-14 19:07,2051,0
473,248,Xiaomi,Xiaomi Watch GT 4,智能手表,5,buy,2025-11-14 19:27,2807,5
436,40,Samsung,Samsung MacBook Pro,笔记本电脑,2,buy,2025-11-14 20:05,12512,5
533,63,Apple,Apple iPhone 16,智能手机,1,buy,2025-11-14 20:53,3942,5
40,218,HP,HP MacBook Pro,笔记本电脑,2,buy,2025-11-14 21:08,6623,5
144,281,Lenovo,Lenovo Sony XM5,耳机,4,buy,2025-11-14 21:18,951,5
121,223,Apple,Apple Watch GT 4,智能手表,5,buy,2025-11-14 21:26,2516,2
331,191,Sony,Sony Surface Pro,平板电脑,3,buy,2025-11-14 21:31,4078,5
298,268,Huawei,Huawei iPhone 16,智能手机,1,buy,2025-11-14 21:33,5750,5
532,129,Microsoft,Microsoft Watch GT 4,智能手表,5,buy,2025-11-14 21:44,3509,2
765,70,Xiaomi,Xiaomi FreeBuds Pro,耳机,4,buy,2025-11-14 21:53,1052,5
326,214,HP,HP C3,电视,7,buy,2025-11-14 23:22,2913,5
6,160,HP,HP MacBook Pro,笔记本电脑,2,buy,2025-11-14 23:44,6812,5
551,235,Xiaomi,Xiaomi AirPods Pro,耳机,4,buy,2025-11-14 23:55,1382,5
480,81,Apple,Apple GH6,相机,6,addbuy,2025-11-15 0:18,7271,0
354,8,Lenovo,Lenovo XPS 15,笔记本电脑,2,buy,2025-11-15 0:22,5072,4
599,157,Sony,Sony Surface Laptop,笔记本电脑,2,buy,2025-11-15 0:38,7096,4
575,278,Dell,Dell Z50,相机,6,buy,2025-11-15 1:04,8136,5
607,79,Xiaomi,Xiaomi AirPods Pro,耳机,4,addbuy,2025-11-15 1:22,1500,0
183,135,Xiaomi,Xiaomi Z50,相机,6,buy,2025-11-15 1:35,3861,5
602,197,Huawei,Huawei ROG Zephyrus,笔记本电脑,2,buy,2025-11-15 3:50,13087,2
284,243,Microsoft,Microsoft Fitbit Sense,智能手表,5,buy,2025-11-15 4:47,2246,5
222,47,Apple,Apple iPhone 16,智能手机,1,addbuy,2025-11-15 5:12,2600,0
487,1,Huawei,Huawei XPS 15,笔记本电脑,2,buy,2025-11-15 5:35,13949,5
524,226,Apple,Apple R8,相机,6,addbuy,2025-11-15 6:00,7136,0
310,257,HP,HP Galaxy S24,智能手机,1,addbuy,2025-11-15 6:06,4624,0
387,198,Lenovo,Lenovo Surface Laptop,笔记本电脑,2,buy,2025-11-15 6:20,5844,5
535,163,LG,LG Galaxy S24,智能手机,1,buy,2025-11-15 6:21,6827,4
171,143,Microsoft,Microsoft Galaxy Tab S9,平板电脑,3,buy,2025-11-15 6:38,5687,4
502,129,Lenovo,Lenovo X-T5,相机,6,buy,2025-11-15 6:59,4364,4
668,179,Lenovo,Lenovo Xiaomi Watch 2,智能手表,5,buy,2025-11-15 7:05,3468,2
790,178,LG,LG Xiaomi Watch 2,智能手表,5,buy,2025-11-15 8:34,1341,5
196,196,Microsoft,Microsoft Surface Pro,平板电脑,3,buy,2025-11-15 9:37,4883,4
453,185,Apple,Apple Galaxy Buds2,耳机,4,buy,2025-11-15 10:11,707,5
318,169,Apple,Apple U8K,电视,7,buy,2025-11-15 10:31,5708,5
14,140,Sony,Sony P60 Pro,智能手机,1,buy,2025-11-15 11:25,1758,2
408,23,Sony,Sony Xiaomi Pad 6,平板电脑,3,buy,2025-11-15 11:29,1905,5
641,30,Sony,Sony Galaxy S24,智能手机,1,buy,2025-11-15 12:10,6857,4
648,233,HP,HP ROG Zephyrus,笔记本电脑,2,buy,2025-11-15 12:14,13189,4
664,280,HP,HP QLED TV,电视,7,buy,2025-11-15 12:56,5404,5
628,79,LG,LG AirPods Pro,耳机,4,buy,2025-11-15 13:04,81,4
123,29,Samsung,Samsung Surface Laptop,笔记本电脑,2,buy,2025-11-15 14:00,6765,2
100,279,Apple,Apple ThinkPad X1,笔记本电脑,2,buy,2025-11-15 15:16,11390,4
341,163,Microsoft,Microsoft AirPods Pro,耳机,4,buy,2025-11-15 15:21,517,4
376,265,Microsoft,Microsoft Xiaomi 14,智能手机,1,buy,2025-11-15 15:37,6696,4
684,32,Dell,Dell Xiaomi Pad 6,平板电脑,3,buy,2025-11-15 17:22,1756,5
747,137,Lenovo,Lenovo Galaxy Watch 6,智能手表,5,buy,2025-11-15 17:40,964,5
283,102,HP,HP iPhone 15,智能手机,1,addbuy,2025-11-15 18:32,1575,0
765,2,Huawei,Huawei ZV-E1,相机,6,buy,2025-11-15 18:56,10290,4
121,175,Lenovo,Lenovo QN90C,电视,7,buy,2025-11-15 19:08,3989,4
475,46,Samsung,Samsung ROG Zephyrus,笔记本电脑,2,addbuy,2025-11-15 19:17,11729,0
191,163,Huawei,Huawei AirPods Pro,耳机,4,buy,2025-11-15 19:23,134,2
223,192,Huawei,Huawei iPad Pro,平板电脑,3,buy,2025-11-15 20:01,1856,4
698,98,Xiaomi,Xiaomi Watch GT 4,智能手表,5,buy,2025-11-15 20:14,2526,4
723,147,Apple,Apple Sony XM5,耳机,4,buy,2025-11-15 20:33,279,5
324,212,Huawei,Huawei GH6,相机,6,addbuy,2025-11-15 20:51,4858,0
182,152,Sony,Sony X90L,电视,7,buy,2025-11-15 21:14,3247,4
95,251,HP,HP ThinkPad X1,笔记本电脑,2,buy,2025-11-15 22:07,8406,2
791,268,LG,LG Watch GT 4,智能手表,5,addbuy,2025-11-15 23:52,2350,0
600,198,Huawei,Huawei Apple Watch S9,智能手表,5,buy,2025-11-16 0:06,2764,3
720,223,Microsoft,Microsoft R8,相机,6,buy,2025-11-16 0:52,4626,4
351,258,Sony,Sony XPS 15,笔记本电脑,2,buy,2025-11-16 1:31,9813,3
526,108,Sony,Sony MacBook Pro,笔记本电脑,2,addbuy,2025-11-16 1:53,13217,0
33,60,HP,HP MatePad Pro,平板电脑,3,buy,2025-11-16 3:16,3526,2
144,240,Huawei,Huawei Sony XM5,耳机,4,buy,2025-11-16 3:22,1245,3
387,18,LG,LG Nothing Ear,耳机,4,buy,2025-11-16 3:25,1216,1
368,5,Samsung,Samsung Gram 17,笔记本电脑,2,buy,2025-11-16 4:16,9440,3
345,52,HP,HP Watch GT 4,智能手表,5,buy,2025-11-16 4:31,1465,3
479,280,Sony,Sony R8,相机,6,buy,2025-11-16 5:21,5048,3
632,234,Apple,Apple Sony XM5,耳机,4,buy,2025-11-16 6:20,616,3
485,125,Dell,Dell Sony XM5,耳机,4,buy,2025-11-16 6:22,1359,1
346,248,LG,LG U8K,电视,7,buy,2025-11-16 7:19,3739,2
240,260,Sony,Sony AirPods Pro,耳机,4,buy,2025-11-16 7:35,1444,2
592,206,Dell,Dell FreeBuds Pro,耳机,4,buy,2025-11-16 7:54,285,2
171,154,Huawei,Huawei GH6,相机,6,buy,2025-11-16 8:20,11530,2
582,72,Lenovo,Lenovo iPhone 16,智能手机,1,buy,2025-11-16 9:29,6046,3
93,159,LG,LG AirPods Pro,耳机,4,buy,2025-11-16 9:29,455,2
406,85,LG,LG Xiaomi Watch 2,智能手表,5,buy,2025-11-16 9:46,3808,2
177,155,Huawei,Huawei X90L,电视,7,buy,2025-11-16 10:17,5073,2
209,224,Huawei,Huawei R8,相机,6,buy,2025-11-16 10:51,6879,1
702,285,Xiaomi,Xiaomi XPS 15,笔记本电脑,2,buy,2025-11-16 11:23,5647,2
353,52,HP,HP Galaxy Buds2,耳机,4,addbuy,2025-11-16 11:26,618,0
218,242,Dell,Dell Xiaomi 14,智能手机,1,buy,2025-11-16 11:36,4937,3
782,50,HP,HP Galaxy Buds2,耳机,4,buy,2025-11-16 11:48,1410,1
410,168,LG,LG iPhone 16,智能手机,1,buy,2025-11-16 12:31,4040,1
404,274,Dell,Dell Nothing Ear,耳机,4,buy,2025-11-16 12:39,774,2
759,14,HP,HP QLED TV,电视,7,addbuy,2025-11-16 12:46,2064,0
378,186,Huawei,Huawei iPhone 16,智能手机,1,buy,2025-11-16 14:09,2927,2
614,204,Apple,Apple ROG Zephyrus,笔记本电脑,2,buy,2025-11-16 14:10,9624,4
512,97,Xiaomi,Xiaomi X90L,电视,7,addbuy,2025-11-16 16:52,2262,0
96,174,Sony,Sony A80L,电视,7,buy,2025-11-16 17:22,1770,1
155,146,Huawei,Huawei Sony XM5,耳机,4,buy,2025-11-16 18:09,970,1
268,216,HP,HP iPhone 15,智能手机,1,addbuy,2025-11-16 18:18,3546,0
530,55,Dell,Dell ZV-E1,相机,6,buy,2025-11-16 18:18,4824,4
751,52,LG,LG Xiaomi 14,智能手机,1,buy,2025-11-16 18:54,4650,2
327,66,Apple,Apple iPhone 16,智能手机,1,addbuy,2025-11-16 19:41,6379,0
466,6,Dell,Dell Xiaomi 14,智能手机,1,buy,2025-11-16 20:17,5766,2
790,28,Dell,Dell Xiaomi Pad 6,平板电脑,3,buy,2025-11-16 20:21,5616,3
650,60,Sony,Sony Xiaomi 14,智能手机,1,buy,2025-11-16 20:58,3498,2
730,172,LG,LG Xiaomi Pad 6,平板电脑,3,addbuy,2025-11-16 21:37,5245,0
435,273,Samsung,Samsung XPS 15,笔记本电脑,2,buy,2025-11-16 22:06,12751,2
8,173,Samsung,Samsung iPhone 16,智能手机,1,addbuy,2025-11-16 22:44,7218,0
630,233,Xiaomi,Xiaomi GH6,相机,6,buy,2025-11-16 23:34,11601,4
41,63,HP,HP Galaxy S24,智能手机,1,buy,2025-11-16 23:59,4386,5
614,190,LG,LG Apple Watch S9,智能手表,5,buy,2025-11-17 0:01,2840,2
304,13,LG,LG QLED TV,电视,7,buy,2025-11-17 0:19,3584,2
366,214,Huawei,Huawei FreeBuds Pro,耳机,4,buy,2025-11-17 0:21,1097,2
652,19,LG,LG Galaxy S24,智能手机,1,buy,2025-11-17 0:35,1171,5
38,273,LG,LG Xiaomi 14,智能手机,1,buy,2025-11-17 0:49,5737,1
548,49,Huawei,Huawei A7 IV,相机,6,buy,2025-11-17 0:51,8418,2
442,141,Huawei,Huawei Xiaomi Pad 6,平板电脑,3,buy,2025-11-17 1:02,2704,1
751,269,Microsoft,Microsoft Galaxy Buds2,耳机,4,buy,2025-11-17 1:05,791,2
335,191,Apple,Apple iPhone 15,智能手机,1,buy,2025-11-17 1:49,5695,2
654,52,Microsoft,Microsoft Gram 17,笔记本电脑,2,buy,2025-11-17 3:07,4502,2
653,155,Samsung,Samsung FreeBuds Pro,耳机,4,buy,2025-11-17 3:09,894,3
765,132,Apple,Apple Galaxy Buds2,耳机,4,buy,2025-11-17 4:31,920,2
585,134,Samsung,Samsung Galaxy Tab S9,平板电脑,3,buy,2025-11-17 4:51,2170,2
250,26,Lenovo,Lenovo ROG Zephyrus,笔记本电脑,2,buy,2025-11-17 5:00,9082,2
779,224,HP,HP Galaxy Buds2,耳机,4,buy,2025-11-17 5:02,909,2
514,24,Huawei,Huawei QN90C,电视,7,buy,2025-11-17 5:21,3933,3
280,3,Huawei,Huawei Watch GT 4,智能手表,5,buy,2025-11-17 6:03,3280,3
673,67,Apple,Apple Sony XM5,耳机,4,buy,2025-11-17 6:35,789,2
651,163,HP,HP Nothing Ear,耳机,4,buy,2025-11-17 6:37,548,3
727,167,Xiaomi,Xiaomi AirPods Pro,耳机,4,buy,2025-11-17 6:39,161,1
746,236,Microsoft,Microsoft MatePad Pro,平板电脑,3,buy,2025-11-17 6:52,3142,2
555,200,Microsoft,Microsoft Watch GT 4,智能手表,5,buy,2025-11-17 7:02,3223,2
349,164,Apple,Apple QN90C,电视,7,buy,2025-11-17 7:09,5481,1
761,256,Huawei,Huawei X-T5,相机,6,buy,2025-11-17 7:17,7701,2
262,207,Huawei,Huawei Xiaomi Pad 6,平板电脑,3,addbuy,2025-11-17 8:00,3297,0
647,250,Microsoft,Microsoft iPad Pro,平板电脑,3,buy,2025-11-17 9:11,1902,4
766,272,Samsung,Samsung iPhone 16,智能手机,1,buy,2025-11-17 9:24,5574,1
463,240,Sony,Sony Galaxy S24,智能手机,1,buy,2025-11-17 10:27,3979,1
171,181,Microsoft,Microsoft P60 Pro,智能手机,1,buy,2025-11-17 10:37,1121,1
770,146,Dell,Dell iPhone 15,智能手机,1,buy,2025-11-17 10:55,5647,1
385,276,HP,HP Galaxy Watch 6,智能手表,5,buy,2025-11-17 11:01,3259,2
100,203,Microsoft,Microsoft iPhone 15,智能手机,1,buy,2025-11-17 11:28,2071,1
297,92,Samsung,Samsung Nothing Ear,耳机,4,buy,2025-11-17 13:11,405,2
419,181,Dell,Dell P60 Pro,智能手机,1,buy,2025-11-17 13:35,2495,2
328,186,Microsoft,Microsoft FreeBuds Pro,耳机,4,buy,2025-11-17 13:47,509,4
549,273,LG,LG ROG Zephyrus,笔记本电脑,2,addbuy,2025-11-17 14:15,14180,0
775,238,Dell,Dell Xiaomi Pad 6,平板电脑,3,buy,2025-11-17 14:18,4627,2
410,148,Huawei,Huawei Galaxy Buds2,耳机,4,buy,2025-11-17 15:16,666,2
672,89,LG,LG A80L,电视,7,buy,2025-11-17 15:35,1599,3
429,211,Microsoft,Microsoft Xiaomi Pad 6,平板电脑,3,buy,2025-11-17 15:51,2301,1
230,71,Apple,Apple ROG Zephyrus,笔记本电脑,2,buy,2025-11-17 16:14,7219,2
750,210,Microsoft,Microsoft Surface Pro,平板电脑,3,buy,2025-11-17 16:40,5464,1
171,292,Microsoft,Microsoft Galaxy Buds2,耳机,4,buy,2025-11-17 16:42,62,2
24,200,Samsung,Samsung FreeBuds Pro,耳机,4,buy,2025-11-17 17:12,1372,4
469,189,Xiaomi,Xiaomi Galaxy Buds2,耳机,4,buy,2025-11-17 17:20,1241,2
205,166,HP,HP Gram 17,笔记本电脑,2,buy,2025-11-17 17:53,7809,2
212,296,Samsung,Samsung iPad Pro,平板电脑,3,buy,2025-11-17 18:39,2536,3
618,228,Xiaomi,Xiaomi Xiaomi 14,智能手机,1,buy,2025-11-17 19:22,4812,3
657,57,HP,HP Nothing Ear,耳机,4,buy,2025-11-17 19:43,435,1
474,36,Huawei,Huawei XPS 15,笔记本电脑,2,addbuy,2025-11-17 20:03,13865,0
694,209,Apple,Apple Gram 17,笔记本电脑,2,buy,2025-11-17 20:07,4295,3
428,134,Dell,Dell AirPods Pro,耳机,4,addbuy,2025-11-17 20:46,1154,0
796,274,Samsung,Samsung QLED TV,电视,7,buy,2025-11-17 20:55,7440,1
62,150,HP,HP Gram 17,笔记本电脑,2,buy,2025-11-17 21:13,4412,2
410,262,Apple,Apple Galaxy S24,智能手机,1,buy,2025-11-17 21:22,7652,1
150,135,Samsung,Samsung iPad Pro,平板电脑,3,buy,2025-11-17 21:25,5123,2
174,188,Samsung,Samsung Xiaomi 14,智能手机,1,buy,2025-11-17 21:52,7305,1
249,248,LG,LG Galaxy Buds2,耳机,4,buy,2025-11-17 21:53,1031,1
658,38,Samsung,Samsung Galaxy S24,智能手机,1,buy,2025-11-17 22:30,2656,5
776,134,HP,HP Galaxy Watch 6,智能手表,5,buy,2025-11-17 22:40,2839,2
462,133,HP,HP Z50,相机,6,buy,2025-11-17 22:40,7561,2
780,72,Microsoft,Microsoft A7 IV,相机,6,buy,2025-11-17 22:59,11249,3
227,190,Sony,Sony AirPods Pro,耳机,4,addbuy,2025-11-17 23:00,420,0
734,82,Sony,Sony Galaxy S24,智能手机,1,addbuy,2025-11-17 23:09,5601,0
731,226,Sony,Sony Sony XM5,耳机,4,buy,2025-11-17 23:41,1336,2
623,150,Huawei,Huawei R8,相机,6,buy,2025-11-17 23:43,6710,2
217,299,Xiaomi,Xiaomi iPhone 15,智能手机,1,buy,2025-11-18 0:31,4078,3
266,187,Microsoft,Microsoft iPad Pro,平板电脑,3,buy,2025-11-18 0:32,3856,4
489,88,Lenovo,Lenovo X-T5,相机,6,buy,2025-11-18 0:39,10513,2
514,161,Huawei,Huawei Nothing Ear,耳机,4,buy,2025-11-18 1:15,883,2
664,87,Dell,Dell Galaxy Z Flip,智能手机,1,buy,2025-11-18 1:25,5278,1
389,8,Huawei,Huawei Galaxy Z Flip,智能手机,1,buy,2025-11-18 1:28,5348,1
317,106,LG,LG Galaxy Buds2,耳机,4,buy,2025-11-18 1:40,1252,3
797,62,Sony,Sony Nothing Ear,耳机,4,buy,2025-11-18 1:48,385,3
471,292,LG,LG Surface Laptop,笔记本电脑,2,buy,2025-11-18 2:37,14549,2
760,104,Lenovo,Lenovo Galaxy Tab S9,平板电脑,3,buy,2025-11-18 2:47,1781,1
642,51,Apple,Apple Galaxy Z Flip,智能手机,1,buy,2025-11-18 3:28,4118,2
567,274,Samsung,Samsung FreeBuds Pro,耳机,4,buy,2025-11-18 4:27,783,1
581,268,Apple,Apple Sony XM5,耳机,4,buy,2025-11-18 4:42,991,2
707,126,Sony,Sony Galaxy Tab S9,平板电脑,3,buy,2025-11-18 5:46,3456,3
42,137,HP,HP Galaxy Tab S9,平板电脑,3,buy,2025-11-18 5:59,3523,1
751,33,Samsung,Samsung Galaxy Buds2,耳机,4,addbuy,2025-11-18 7:27,1122,0
213,117,Sony,Sony A7 IV,相机,6,buy,2025-11-18 7:29,4238,2
476,51,Microsoft,Microsoft Galaxy Z Flip,智能手机,1,buy,2025-11-18 8:00,3097,3
